Scan,Type,BCID,sigma,sigmaErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,rate0sep,rate0sepErr,peakRateRatio,peakRateRatioErr,area,areaErr,fitStatus,chi2,ndof,covStatus
1,X,1,0.1891142299741086,0.005255905212537674,0.017390691502374968,0.010968129239997178,0.2674479088671289,0.0074329724341182235,0.0001794783300682704,7.549264060377217e-06,0.00017290510570207722,1.4659309935584799e-05,1.0380163693807813,0.09824093750761438,0.00012032092465963373,6.065942661361876e-06,0,8.495213690899378,6,3
1,X,892,0.1899680952986155,0.006038493106811597,0.018423306838837767,0.012769161229071065,0.26865545678948666,0.008539718847949407,0.0001956547254630622,9.277216664480366e-06,0.0001875026866845314,1.288274051336291e-05,1.0434769171721066,0.08710969669051212,0.00013175768080888478,7.521399779208246e-06,0,3.94151282461434,4,3
1,X,1786,0.1896278493310611,0.004915376183771583,0.0389062772540599,0.011673187399217475,0.26817427632762847,0.0069513916632554795,0.0001749863153415381,7.1669387862579e-06,0.00016646894477586935,8.973772238767499e-06,1.0511649219446688,0.07116477401324403,0.00011762811511664142,5.701499645712851e-06,0,9.533830232232944,5,3
2,Y,1,0.20011892645004872,0.00577517702709275,0.016044994233090207,0.011979243778317755,0.2830108998732028,0.008167333676820099,0.0001824836783175124,8.876729899901256e-06,0.00017046486050970342,1.2781814848210344e-05,1.0705061311279742,0.09568044753856748,0.00012945449141375535,7.3219779123396245e-06,0,10.563012703553278,6,3
2,Y,892,0.21488710858659144,0.0061306372527419615,0.009034446594363383,0.013028075924034339,0.3038962633422976,0.008670030348817415,0.0001674954506633248,8.007245744403439e-06,0.0001662230844345915,1.0232359814895379e-05,1.0076545699597699,0.07853745661539847,0.0001275904913668202,7.103165915279126e-06,0,3.9772856017378815,6,3
2,Y,1786,0.21659874640430743,0.005752479434899025,0.008734501526592848,0.011577389406195812,0.30631688475798224,0.00813523443410652,0.00017157938288271738,7.744831809733537e-06,0.0001647666046936794,1.0813968185315936e-05,1.041348052305282,0.08294941237436368,0.0001317425217513804,6.899613330578407e-06,0,10.620057985977557,6,3
