XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,SBIL,SBILErr
1_2,XY,1,79.2063344580598,4.070049850437445,0.006537119434370145,0.00039626991135400516
1_2,XY,892,85.74409476084502,4.667941429467032,0.005665467787091895,0.00036294077025513725
1_2,XY,1786,82.31107351491337,3.9506787918009585,0.006777832516616416,0.00038518973613892285
